tiempo(s),Numero_joints,G-parcial(N)
7.430,7.000,706.723
7.441,7.000,703.866
7.452,7.000,714.939
7.463,7.000,701.915
7.474,7.000,700.487
7.485,7.000,699.490
7.496,7.000,698.700
7.507,7.000,698.106
7.517,7.000,697.694
7.528,7.000,697.384
7.539,7.000,697.178
7.550,7.000,697.035
7.562,7.000,696.919
7.573,7.000,696.597
7.584,7.000,696.629
7.595,7.000,696.484
7.606,7.000,695.849
7.617,7.000,694.636
7.628,7.000,695.676
7.639,7.000,696.766
7.650,7.000,696.854
7.661,7.000,696.499
7.672,7.000,696.230
7.682,7.000,696.221
7.693,7.000,696.409
7.704,7.000,696.550
7.715,7.000,696.560
7.726,7.000,696.157
7.737,7.000,696.122
7.748,7.000,696.444
7.759,7.000,696.736
7.770,7.000,696.809
7.781,7.000,696.735
7.792,7.000,696.589
7.803,7.000,696.492
7.814,7.000,696.450
7.825,7.000,696.438
7.836,7.000,696.425
7.847,7.000,696.397
7.858,7.000,696.354
7.869,7.000,696.291
7.880,7.000,696.241
7.891,7.000,696.185
7.902,7.000,696.134
7.913,7.000,696.075
7.924,7.000,696.015
7.935,7.000,695.952
7.946,7.000,695.884
7.957,7.000,695.812
7.968,7.000,694.888
7.979,7.000,694.486
7.990,7.000,694.761
8.001,7.000,695.224
8.012,7.000,695.611
8.023,7.000,695.824
8.034,7.000,695.910
8.045,7.000,695.903
8.056,7.000,695.729
8.067,7.000,695.423
8.078,7.000,694.993
8.088,7.000,694.532
8.099,7.000,694.203
8.110,7.000,694.099
8.121,7.000,694.164
8.132,7.000,694.310
8.143,7.000,694.476
8.154,7.000,694.414
8.165,7.000,695.523
8.176,7.000,695.805
8.187,7.000,695.153
8.198,7.000,693.927
8.209,7.000,690.689
8.220,7.000,689.752
8.231,7.000,690.940
8.242,7.000,692.539
8.253,7.000,693.541
8.264,7.000,694.968
8.275,7.000,694.696
8.286,7.000,694.560
8.297,7.000,693.085
8.308,7.000,692.158
8.319,7.000,692.082
8.330,7.000,692.032
8.341,7.000,691.856
8.352,7.000,691.726
8.363,7.000,691.583
8.374,7.000,691.713
8.385,7.000,692.336
8.396,7.000,691.562
8.407,7.000,691.137
8.418,7.000,690.900
8.429,7.000,690.739
8.440,7.000,690.425
8.451,7.000,690.330
8.462,7.000,690.212
8.473,7.000,690.080
8.484,7.000,689.948
8.495,7.000,689.820
8.506,7.000,689.687
8.517,7.000,689.549
8.528,7.000,689.409
8.539,7.000,689.267
8.550,7.000,689.079
8.561,7.000,688.892
8.572,7.000,688.682
8.583,7.000,688.483
